Graded Commit:f296c776715c7b95698ca7154c83f2bf764edb37

TEST NAME, POINTS,OUT OF
tracker_suite/cancellation_test,1,1,
tracker_suite/many_workers_many_trivial_test,1,1,
tracker_suite/many_workers_several_crypto_test,1,1,
tracker_suite/many_workers_several_mixed_test,1,1,
tracker_suite/one_worker_multi_crypto_test,1,1,
tracker_suite/one_worker_multi_trivial_test,1,1,
tracker_suite/one_worker_one_crypto_test,1,1,
tracker_suite/one_worker_one_trivial_test,1,1,
tracker_suite/start_end_test,1,1,
tracker_suite/two_workers_multi_crypto_test,1,1,
tracker_suite/two_workers_multi_trivial_test,1,1,
tracker_suite/two_workers_one_crypto_test,1,1,
tracker_suite/two_workers_one_trivial_test,1,1,
total,13,13
